,Drug,Gene
0,DB00357,1583
1,DB02721,125
2,DB00773,5742
3,DB07138,1432
4,DB08136,1017
5,DB01242,6530
6,DB01238,1132
7,DB00186,2557
8,DB00338,1565
9,DB01151,150
10,DB01244,476
11,DB01745,5644
12,DB01996,4314
13,DB04800,5770
14,DB08352,1432
15,DB00133,189
16,DB00163,2947
17,DB00197,1558
18,DB06777,1576
19,DB01151,1565
20,DB00356,1576
21,DB01589,2556
22,DB01272,4074
23,DB08846,6713
24,DB01151,1557
25,DB01076,3156
26,DB00605,5467
27,DB08515,5690
28,DB02401,3945
29,DB01057,590
30,DB03286,5837
31,DB08814,10846
32,DB00945,5742
33,DB01809,5979
34,DB01352,2559
35,DB00185,1565
36,DB01708,2905
37,DB04058,1357
38,DB00570,51174
39,DB02805,6035
40,DB01355,1137
41,DB00834,100861540
42,DB00834,1551
43,DB00734,150
44,DB01708,55879
45,DB03981,9955
46,DB07124,5566
47,DB08137,1017
48,DB00143,2098
49,DB00102,5156
50,DB00188,5692
51,DB00533,5742
52,DB01520,2904
53,DB08355,1017
54,DB01252,5468
55,DB01215,2566
56,DB01221,4986
57,DB00922,5139
58,DB00586,1543
59,DB00243,1576
60,DB00054,2212
61,DB00051,2213
62,DB05238,673
63,DB04335,4860
64,DB05030,3791
65,DB00231,2566
66,DB00162,216
67,DB00988,1557
68,DB00373,153
69,DB01223,1544
70,DB00255,1559
71,DB01247,4128
72,DB00564,1558
73,DB04551,5313
74,DB02056,8644
75,DB08424,1432
76,DB05387,4313
77,DB03865,3249
78,DB04405,4321
79,DB04322,4522
80,DB01357,2099
81,DB01698,1558
82,DB07616,27306
83,DB01011,1548
84,DB00005,2214
85,DB01074,1565
86,DB00475,2557
87,DB00939,3785
88,DB00518,1543
89,DB01587,2563
90,DB00201,5142
91,DB04444,51727
92,DB03501,2683
93,DB09068,1577
94,DB03103,4830
95,DB00753,801
96,DB00753,805
97,DB00753,808
98,DB01381,2554
99,DB01820,5770
100,DB03461,1666
101,DB00836,801
102,DB00836,805
103,DB00836,808
104,DB08914,3643
105,DB00116,10797
106,DB00139,64849
107,DB00114,23042
108,DB00139,6392
109,DB01167,1577
110,DB07034,1111
111,DB04389,2272
112,DB00328,11251
113,DB00201,5143
114,DB00515,4502
115,DB05079,3269
116,DB08095,1432
117,DB00993,3251
118,DB05157,5600
119,DB02250,4069
120,DB05260,6241
121,DB00820,1576
122,DB05280,1814
123,DB03152,6010
124,DB07428,3043
125,DB00477,6609
126,DB00721,1135
127,DB01156,1559
128,DB05390,5029
129,DB01454,6532
130,DB00744,1576
131,DB00108,712
132,DB01424,1558
133,DB04216,506
134,DB01224,1814
135,DB00112,9103
136,DB01365,147
137,DB00200,4594
138,DB00696,146
139,DB04922,9254
140,DB07494,89832
141,DB08385,2166
142,DB07020,5601
143,DB03758,5165
144,DB06147,1588
145,DB01095,1565
146,DB00114,6470
147,DB00439,1576
148,DB05096,2913
149,DB06637,3752
150,DB01085,1129
151,DB03179,118881
152,DB06678,3358
153,DB03088,7422
154,DB03757,1990
155,DB00854,4988
156,DB00338,1557
157,DB08697,5328
158,DB00458,6530
159,DB00945,1645
160,DB03033,4314
161,DB00812,5743
162,DB06871,2099
163,DB07934,2147
164,DB00622,1555
165,DB02726,5315
166,DB00182,153
167,DB00613,1558
168,DB00934,151
169,DB06605,1559
170,DB07374,6138
171,DB00169,7421
172,DB00575,151
173,DB07347,2597
174,DB06016,3350
175,DB06866,2147
176,DB05207,3554
177,DB01403,1814
178,DB04400,5053
179,DB06858,5644
180,DB00174,4677
181,DB00155,4842
182,DB06695,7366
183,DB06678,3356
184,DB00289,2903
185,DB01324,6559
186,DB06944,1017
187,DB00114,55163
188,DB00157,4720
189,DB00655,1576
190,DB05424,1956
191,DB01026,1558
192,DB01695,7167
193,DB00852,154
194,DB00143,2948
195,DB00594,26
196,DB07680,1215
197,DB00157,4701
198,DB07388,4846
199,DB00670,1128
200,DB01102,155
201,DB01207,6915
202,DB00126,5066
203,DB08846,5579
204,DB00734,3269
205,DB00824,5142
206,DB00683,1577
207,DB01954,5144
208,DB00661,785
209,DB04841,1559
210,DB00268,3352
211,DB00659,2905
212,DB03760,5165
213,DB09026,5972
214,DB01708,8856
215,DB06216,3269
216,DB01049,2564
217,DB00849,2556
218,DB01018,151
219,DB07390,4314
220,DB00313,1558
221,DB00411,1135
222,DB00086,2149
223,DB00200,81693
224,DB04820,4129
225,DB01622,148
226,DB01483,2554
227,DB07701,43
228,DB00167,55699
229,DB00318,100861540
230,DB00318,1551
231,DB07080,8856
232,DB00157,3156
233,DB00889,1577
234,DB09053,1576
235,DB06069,7150
236,DB00543,152
237,DB07427,3039
238,DB07427,3040
239,DB00830,6531
240,DB00598,153
241,DB04395,3932
242,DB01049,3359
243,DB02494,9349
244,DB04574,1544
245,DB02264,2246
246,DB00825,162514
247,DB01620,3269
248,DB04006,1017
249,DB06844,890
250,DB00408,1133
251,DB01029,1558
252,DB01024,54658
253,DB01122,43
254,DB04836,6530
255,DB03130,2739
256,DB06216,152
257,DB07621,1548
258,DB00197,7366
259,DB03101,4860
260,DB03461,2539
261,DB01151,151
262,DB06616,1576
263,DB06931,9453
264,DB04234,1513
265,DB01011,1584
266,DB00075,714
267,DB01548,10206
268,DB07167,1436
269,DB04604,83903
270,DB00540,3356
271,DB07344,27349
272,DB02796,4860
273,DB01424,100861540
274,DB01424,1551
275,DB04369,5646
276,DB05290,1909
277,DB08354,1457
278,DB04855,3776
279,DB08515,5685
280,DB07107,5566
281,DB01643,7298
283,DB00016,2057
284,DB00371,55879
285,DB07468,79784
286,DB00343,1565
287,DB00675,5580
288,DB03329,1508
289,DB01942,10243
290,DB04534,4846
291,DB02638,553
292,DB04920,779
293,DB01198,1576
294,DB00296,6336
295,DB00729,1131
296,DB01221,3355
297,DB00952,3351
298,DB09082,1576
299,DB00153,1593
300,DB00767,1131
301,DB02400,1728
302,DB03206,11253
303,DB01049,148
304,DB02800,6470
305,DB04530,9266
306,DB00583,1376
307,DB07987,4314
308,DB00794,2562
309,DB00176,6532
310,DB00979,590
312,DB06594,1544
313,DB00031,2243
314,DB00195,154
315,DB02010,5294
316,DB05107,2539
318,DB00041,3560
319,DB00514,1536
320,DB01171,1559
321,DB00087,713
322,DB01496,2558
323,DB00468,1557
324,DB00543,2562
325,DB01142,1576
326,DB00905,5733
327,DB02640,10988
328,DB01039,1576
329,DB02648,1384
330,DB00025,433
331,DB00496,1128
332,DB01834,2950
333,DB03742,2099
334,DB08690,10975
335,DB04464,1350
336,DB00945,5564
337,DB09078,2324
338,DB06603,10014
339,DB00996,9254
340,DB04871,3358
341,DB00558,4759
342,DB03575,116443
343,DB01196,4133
344,DB00482,5743
345,DB00169,1593
346,DB00624,1543
347,DB05736,1513
348,DB00961,6336
349,DB00402,55879
350,DB01611,54106
351,DB04395,6733
352,DB08896,1555
353,DB03461,7923
354,DB00835,1131
355,DB01028,2556
356,DB01588,2570
357,DB07401,27089
358,DB00518,7846
359,DB02325,7124
360,DB04464,1345
361,DB08800,3269
362,DB04315,7284
363,DB01873,10382
364,DB00292,2554
365,DB00475,2554
366,DB00520,1576
367,DB00599,2898
368,DB01392,3358
369,DB04574,1576
370,DB02901,1583
371,DB05283,1544
372,DB00889,1543
373,DB00540,1576
374,DB01238,3352
375,DB04513,801
376,DB04513,805
377,DB04513,808
378,DB00893,3043
379,DB00540,3358
380,DB01363,152
381,DB00976,1577
382,DB01393,1576
383,DB02262,1723
384,DB02281,4507
385,DB01205,2562
386,DB08164,1803
387,DB07088,5644
388,DB06237,8654
389,DB01183,2099
390,DB01268,1576
391,DB08750,4843
392,DB00197,54577
393,DB00674,57053
394,DB03435,360203
395,DB03783,1559
396,DB00763,1559
397,DB05249,1441
398,DB02772,4069
399,DB06096,3351
400,DB06097,1062
401,DB00543,2557
402,DB00642,7298
403,DB01241,5465
404,DB00554,5743
405,DB00126,5351
406,DB01234,1583
407,DB06616,25
408,DB00551,4321
409,DB01251,3764
410,DB00333,116443
411,DB00641,1559
412,DB03892,4842
413,DB00321,1131
414,DB04444,2779
415,DB00949,1571
416,DB01018,150
417,DB01782,9479
418,DB00721,6531
419,DB01159,387129
420,DB06927,2099
421,DB01151,6532
422,DB06917,4048
423,DB00470,1548
424,DB00490,100861540
425,DB00490,1551
426,DB07162,3717
427,DB00408,3361
428,DB00741,301
429,DB02379,3456
430,DB00637,3269
431,DB01087,1576
432,DB09068,3350
433,DB00163,2939
434,DB07157,1360
435,DB00073,2212
436,DB00361,1565
437,DB01094,1544
438,DB01173,6336
439,DB02325,8732
440,DB01466,100861540
441,DB01466,1551
442,DB00340,1129
443,DB02494,6143
444,DB05216,3815
445,DB00162,50700
446,DB00887,1080
447,DB02236,2618
448,DB01023,9254
449,DB02701,23408
450,DB00489,154
451,DB03149,1215
452,DB07330,142
453,DB00549,5742
454,DB01162,146
455,DB00019,1991
456,DB01189,2555
457,DB05676,3458
