,Disease,Disease Name,Gene
0,C0036095,Salivary Gland Neoplasms,1462
1,C0036095,Salivary Gland Neoplasms,1612
2,C0036095,Salivary Gland Neoplasms,182
3,C0036095,Salivary Gland Neoplasms,2011
4,C0036095,Salivary Gland Neoplasms,2019
5,C0036095,Salivary Gland Neoplasms,2175
6,C0036095,Salivary Gland Neoplasms,2195
7,C0036095,Salivary Gland Neoplasms,23209
8,C0036095,Salivary Gland Neoplasms,23543
9,C0036095,Salivary Gland Neoplasms,23619
10,C0036095,Salivary Gland Neoplasms,259266
11,C0036095,Salivary Gland Neoplasms,2620
12,C0036095,Salivary Gland Neoplasms,2621
13,C0036095,Salivary Gland Neoplasms,27344
14,C0036095,Salivary Gland Neoplasms,2982
15,C0036095,Salivary Gland Neoplasms,3485
16,C0036095,Salivary Gland Neoplasms,358
17,C0036095,Salivary Gland Neoplasms,3691
18,C0036095,Salivary Gland Neoplasms,3852
19,C0036095,Salivary Gland Neoplasms,3866
20,C0036095,Salivary Gland Neoplasms,4082
21,C0036095,Salivary Gland Neoplasms,50805
22,C0036095,Salivary Gland Neoplasms,51477
23,C0036095,Salivary Gland Neoplasms,51514
24,C0036095,Salivary Gland Neoplasms,51659
25,C0036095,Salivary Gland Neoplasms,5174
26,C0036095,Salivary Gland Neoplasms,5176
27,C0036095,Salivary Gland Neoplasms,53335
28,C0036095,Salivary Gland Neoplasms,54441
29,C0036095,Salivary Gland Neoplasms,54531
30,C0036095,Salivary Gland Neoplasms,5587
31,C0036095,Salivary Gland Neoplasms,57419
32,C0036095,Salivary Gland Neoplasms,5834
33,C0036095,Salivary Gland Neoplasms,595
34,C0036095,Salivary Gland Neoplasms,6484
35,C0036095,Salivary Gland Neoplasms,6651
36,C0036095,Salivary Gland Neoplasms,6659
37,C0036095,Salivary Gland Neoplasms,6664
38,C0036095,Salivary Gland Neoplasms,7153
39,C0036095,Salivary Gland Neoplasms,80303
40,C0036095,Salivary Gland Neoplasms,81029
41,C0036095,Salivary Gland Neoplasms,81831
42,C0036095,Salivary Gland Neoplasms,9454
43,C0036095,Salivary Gland Neoplasms,9700
44,C0036095,Salivary Gland Neoplasms,999
45,C0033941,"Psychoses, Substance-Induced",135
46,C0033941,"Psychoses, Substance-Induced",1636
47,C0033941,"Psychoses, Substance-Induced",207
48,C0033941,"Psychoses, Substance-Induced",2099
49,C0033941,"Psychoses, Substance-Induced",2912
50,C0033941,"Psychoses, Substance-Induced",2950
51,C0033941,"Psychoses, Substance-Induced",3350
52,C0033941,"Psychoses, Substance-Induced",3362
53,C0033941,"Psychoses, Substance-Induced",4886
54,C0033941,"Psychoses, Substance-Induced",4988
55,C0033941,"Psychoses, Substance-Induced",5245
56,C0033941,"Psychoses, Substance-Induced",6531
57,C0033941,"Psychoses, Substance-Induced",6622
58,C0033941,"Psychoses, Substance-Induced",6648
59,C0033941,"Psychoses, Substance-Induced",816
60,C0033941,"Psychoses, Substance-Induced",8787
61,C0033941,"Psychoses, Substance-Induced",9463
62,C0043459,Zellweger Syndrome,3295
63,C0043459,Zellweger Syndrome,5189
64,C0043459,Zellweger Syndrome,5190
65,C0043459,Zellweger Syndrome,5192
66,C0043459,Zellweger Syndrome,5193
67,C0043459,Zellweger Syndrome,5194
68,C0043459,Zellweger Syndrome,5195
69,C0043459,Zellweger Syndrome,55670
70,C0043459,Zellweger Syndrome,5824
71,C0043459,Zellweger Syndrome,5825
72,C0043459,Zellweger Syndrome,5828
73,C0043459,Zellweger Syndrome,5830
74,C0043459,Zellweger Syndrome,8504
75,C0043459,Zellweger Syndrome,8799
76,C0043459,Zellweger Syndrome,9409
77,C0033860,Psoriasis,100271719
78,C0033860,Psoriasis,10318
79,C0033860,Psoriasis,10498
80,C0033860,Psoriasis,10547
81,C0033860,Psoriasis,10758
82,C0033860,Psoriasis,10866
83,C0033860,Psoriasis,117289
84,C0033860,Psoriasis,125893
85,C0033860,Psoriasis,1356
86,C0033860,Psoriasis,1401
87,C0033860,Psoriasis,140454
88,C0033860,Psoriasis,1437
89,C0033860,Psoriasis,149233
90,C0033860,Psoriasis,163702
91,C0033860,Psoriasis,23586
92,C0033860,Psoriasis,2524
93,C0033860,Psoriasis,2706
94,C0033860,Psoriasis,285626
95,C0033860,Psoriasis,29785
96,C0033860,Psoriasis,3107
97,C0033860,Psoriasis,338442
98,C0033860,Psoriasis,348
99,C0033860,Psoriasis,353143
100,C0033860,Psoriasis,353144
101,C0033860,Psoriasis,3553
102,C0033860,Psoriasis,3565
103,C0033860,Psoriasis,3569
104,C0033860,Psoriasis,3593
105,C0033860,Psoriasis,3596
106,C0033860,Psoriasis,359825
107,C0033860,Psoriasis,400957
108,C0033860,Psoriasis,4288
109,C0033860,Psoriasis,4792
110,C0033860,Psoriasis,4843
111,C0033860,Psoriasis,503613
112,C0033860,Psoriasis,5111
113,C0033860,Psoriasis,51561
114,C0033860,Psoriasis,51752
115,C0033860,Psoriasis,5271
116,C0033860,Psoriasis,54620
117,C0033860,Psoriasis,5468
118,C0033860,Psoriasis,55350
119,C0033860,Psoriasis,55770
120,C0033860,Psoriasis,55905
121,C0033860,Psoriasis,57178
122,C0033860,Psoriasis,5966
123,C0033860,Psoriasis,5972
124,C0033860,Psoriasis,5980
125,C0033860,Psoriasis,6278
126,C0033860,Psoriasis,63869
127,C0033860,Psoriasis,63870
128,C0033860,Psoriasis,64135
129,C0033860,Psoriasis,643749
130,C0033860,Psoriasis,64478
131,C0033860,Psoriasis,65245
132,C0033860,Psoriasis,6648
133,C0033860,Psoriasis,6773
134,C0033860,Psoriasis,6774
135,C0033860,Psoriasis,7039
136,C0033860,Psoriasis,7124
137,C0033860,Psoriasis,7128
138,C0033860,Psoriasis,7157
139,C0033860,Psoriasis,7297
140,C0033860,Psoriasis,7422
141,C0033860,Psoriasis,7889
142,C0033860,Psoriasis,79092
143,C0033860,Psoriasis,81890
144,C0033860,Psoriasis,831
145,C0033860,Psoriasis,84648
146,C0033860,Psoriasis,847
147,C0033860,Psoriasis,85463
148,C0033860,Psoriasis,864
149,C0033860,Psoriasis,8651
150,C0033860,Psoriasis,8875
151,C0033860,Psoriasis,8876
152,C0033860,Psoriasis,90134
153,C0033860,Psoriasis,9232
154,C0033860,Psoriasis,9692
155,C0033860,Psoriasis,9825
156,C0033860,Psoriasis,9844
157,C0027726,Nephrotic Syndrome,1277
158,C0027726,Nephrotic Syndrome,1282
159,C0027726,Nephrotic Syndrome,1284
160,C0027726,Nephrotic Syndrome,2
161,C0027726,Nephrotic Syndrome,213
162,C0027726,Nephrotic Syndrome,2152
163,C0027726,Nephrotic Syndrome,2247
164,C0027726,Nephrotic Syndrome,2262
165,C0027726,Nephrotic Syndrome,2981
166,C0027726,Nephrotic Syndrome,3123
167,C0027726,Nephrotic Syndrome,3291
168,C0027726,Nephrotic Syndrome,3558
169,C0027726,Nephrotic Syndrome,462
170,C0027726,Nephrotic Syndrome,4690
171,C0027726,Nephrotic Syndrome,5054
172,C0027726,Nephrotic Syndrome,6648
173,C0027726,Nephrotic Syndrome,7018
174,C0027726,Nephrotic Syndrome,7040
175,C0027726,Nephrotic Syndrome,7827
176,C0027726,Nephrotic Syndrome,8440
177,C0027726,Nephrotic Syndrome,914
178,C0338480,Common Migraine,221692
179,C0338480,Common Migraine,23063
180,C0338480,Common Migraine,23245
181,C0338480,Common Migraine,338342
182,C0338480,Common Migraine,4035
183,C0338480,Common Migraine,4209
184,C0338480,Common Migraine,6863
185,C0338480,Common Migraine,79054
186,C0338480,Common Migraine,796
187,C0338480,Common Migraine,79783
188,C0338480,Common Migraine,9457
189,C0338480,Common Migraine,9910
190,C0026636,Mouth Diseases,10036
191,C0026636,Mouth Diseases,2189
192,C0026636,Mouth Diseases,2937
193,C0026636,Mouth Diseases,3301
194,C0026636,Mouth Diseases,51182
195,C0026636,Mouth Diseases,54541
196,C0026636,Mouth Diseases,56603
197,C0026636,Mouth Diseases,5743
198,C0026636,Mouth Diseases,6283
199,C0026636,Mouth Diseases,672
200,C0026636,Mouth Diseases,8208
201,C0026636,Mouth Diseases,9518
202,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,126328
203,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,137682
204,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,25915
205,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,29078
206,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,374291
207,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4535
208,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4536
209,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4537
210,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4538
211,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4540
212,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4541
213,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4570
214,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4694
215,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4709
216,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4715
217,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4719
218,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4720
219,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4722
220,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4723
221,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4724
222,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4726
223,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4728
224,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,4729
225,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,51103
226,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,55572
227,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,79133
228,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,80224
229,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,91942
230,C0236969,Substance-Related Disorders,1012
231,C0236969,Substance-Related Disorders,10160
232,C0236969,Substance-Related Disorders,10207
233,C0236969,Substance-Related Disorders,10257
234,C0236969,Substance-Related Disorders,105
235,C0236969,Substance-Related Disorders,1080
236,C0236969,Substance-Related Disorders,11278
237,C0236969,Substance-Related Disorders,1129
238,C0236969,Substance-Related Disorders,1138
239,C0236969,Substance-Related Disorders,114134
240,C0236969,Substance-Related Disorders,114786
241,C0236969,Substance-Related Disorders,114788
242,C0236969,Substance-Related Disorders,121601
243,C0236969,Substance-Related Disorders,1268
244,C0236969,Substance-Related Disorders,140683
245,C0236969,Substance-Related Disorders,140733
246,C0236969,Substance-Related Disorders,143098
247,C0236969,Substance-Related Disorders,143379
248,C0236969,Substance-Related Disorders,143458
249,C0236969,Substance-Related Disorders,143503
250,C0236969,Substance-Related Disorders,147685
251,C0236969,Substance-Related Disorders,1565
252,C0236969,Substance-Related Disorders,1653
253,C0236969,Substance-Related Disorders,167465
254,C0236969,Substance-Related Disorders,1769
255,C0236969,Substance-Related Disorders,1793
256,C0236969,Substance-Related Disorders,1813
257,C0236969,Substance-Related Disorders,1826
