,Disease,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
0,C0036095,0.088888889,0.019191919,-0.00621367,2.9253003,0.404333
1,C0033941,0.352941176,0.117647059,-0.008136609,2.840909091,0.2566447
2,C0043459,1.0,0.352380952,-0.001201107,0.0,0.1329351
3,C0033860,0.25,0.01835443,-0.01331345,3.008826638,0.2251713
4,C0027726,0.095238095,0.085714286,-0.004026501,2.781045752,0.2147385
5,C0338480,0.083333333,0.075757576,-0.000996159,3.181818182,0.992859
6,C0026636,0.25,0.151515152,-0.003339311,2.819444444,0.3316885
7,C1838979,0.785714286,0.402116402,-0.002795864,3.151515152,0.003117768
8,C0236969,0.096491228,0.005899705,-0.009981804,3.268113335,0.4571763
9,C0002878,0.25,0.151515152,-0.001339557,2.725925926,0.5034558
10,C0003873,0.433789954,0.008839177,-0.02650679,3.240084363,0.06132885
11,C0003872,0.176470588,0.088235294,-0.003178747,2.837606838,0.6507261
12,C0002871,0.074074074,0.042735043,-0.003051028,2.947628458,0.2814131
13,C0206698,0.583333333,0.115942029,-0.011549776,2.767532468,0.03405868
14,C0206754,0.2,0.111111111,-0.001857971,2.5,0.1574286
15,C0024530,0.095238095,0.061904762,-0.002412635,2.990808824,0.4004668
16,C0598608,0.181818182,0.145454545,-0.001398756,2.933333333,0.5135001
17,C0019693,0.72,0.068484848,-0.040957679,2.952901235,0.07112142
18,C0038013,0.2,0.076190476,-0.002142636,3.151515152,0.9967929
19,C0010606,0.49,0.027878788,-0.023101086,3.089854443,0.07134355
20,C3495559,0.2421875,0.011564961,-0.017819153,2.987241593,0.3359439
21,C0027659,0.371428571,0.077310924,-0.009888429,2.64439946,0.5188984
22,C0027658,0.153846154,0.08974359,-0.001256632,3.037878788,0.1157868
23,C0002171,0.272727273,0.127272727,-0.000588018,3.253968254,0.9949564
24,C0002170,0.133333333,0.066666667,-0.003077714,2.814393939,0.9049817
25,C0428977,0.166666667,0.050724638,-0.001398857,3.075980392,0.6904493
26,C0009447,0.333333333,0.181818182,-0.003000628,2.611607143,0.04625038
27,C0017658,0.266666667,0.082758621,-0.00531807,2.794113757,0.7482071
28,C0001973,0.097560976,0.024390244,-0.003440644,3.190524194,0.1564892
29,C0273115,0.15,0.105263158,-0.009347264,2.629365079,0.4022725
30,C1136249,0.045454545,0.012987013,-0.001629763,2.947712418,0.2883411
31,C0038454,0.342105263,0.058321479,-0.006394008,2.835005574,0.02355988
32,C0019284,0.097560976,0.034146341,-0.006372157,2.778409091,0.04619277
33,C0282612,0.545454545,0.290909091,-0.006040287,2.083333333,0.1548257
34,C0751617,0.214285714,0.076923077,-0.000928176,3.246296296,0.6780799
35,C0035258,0.071428571,0.032967033,-0.00059391,2.866666667,0.9998934
