,Drug,ECFP_PCA
0,DB00357,"[-0.6153474504524786, -0.09899366355421575, -0.3842255846049335, -1.1122403792087914, -0.166246708145718]"
1,DB02901,"[-1.6620694351304568, 0.7112660773483251, 0.04987886700172853, -2.2613369047479557, 0.11699942031446062]"
2,DB01234,"[-1.4542240311296448, 1.2865416895695485, 0.5628609945434176, -2.080745357395817, 0.34348459971717393]"
3,DB01026,"[0.39452664737366383, 1.752575474874721, -0.6202825543976814, -0.19268656080492136, 0.9965520033095853]"
4,DB00857,"[0.5172834289035632, -0.8395141659495915, -0.7536548483326564, -0.22074639504722296, -0.2884556660609366]"
5,DB00390,"[-1.6573908716286192, 1.6467874312844215, 0.04183508790177778, -1.9874995349835793, 0.47026384216055583]"
6,DB00257,"[0.7329755831528377, -0.8732629159560644, -1.4566190474131757, 0.1108826427634133, -1.1145440635164119]"
7,DB00338,"[0.4211779353287646, -0.11007365992942234, -1.500854079147224, 0.5451529216955876, 1.7529980901491653]"
8,DB00882,"[0.3045170095376264, -0.6366297640216341, -0.217047544020459, 0.0232243661004334, 0.6288088179400022]"
9,DB01437,"[0.08819647517371765, -0.4053122675873721, -0.098307779761225, -1.372356762803333, -0.7056577484775787]"
10,DB00917,"[-1.1898849126652544, 0.08520726913300875, 1.7565777254875625, -0.6239427899985911, 0.10094265366367701]"
11,DB01396,"[-1.7194611625111182, 1.6549125594022767, 0.04877432397942082, -2.081218214887391, 0.5252145700029258]"
12,DB00169,"[-1.4088329337894434, 0.44777074318910076, 0.9233202859554897, -1.9509811264039993, -0.044914086462067744]"
13,DB00624,"[-1.4679562434840987, 0.958679562581031, -0.029916673053219017, -2.347694696253632, 0.3740654909253481]"
14,DB01232,"[1.691656603184425, 0.9683994133837779, 2.1976811920532406, 0.5579759582293233, -1.1159827479390385]"
15,DB02721,"[-0.6479262484817371, -1.0070899076885298, -1.3251526570891825, -0.07488379657351678, -0.11588922907067822]"
16,DB02481,"[0.46903411591642863, -1.209711403549047, 0.05702107865672676, 0.12442762665662621, -0.9815775479343684]"
18,DB04105,"[-1.22607716361481, -1.3428442138346885, 0.37240983886393086, -0.14458888489099175, 0.40939108119428685]"
19,DB03461,"[-2.056062277568306, 3.3326793390333975, -0.8091240898928381, 3.580968551168558, -1.0859510579258094]"
