,Gene,PCA_feat
0,1,"[0.533898586240101, -0.2641455549354365, -0.09425149023994747, -0.32633552103935215, -0.11750215613509]"
1,2,"[0.6331696958468198, -0.18391285670751042, -0.3476346519869484, -0.42065437822871954, -0.1350435548191605]"
2,3,"[-0.4375246931207327, -0.08053437183854442, -0.33890218510823716, -0.02422992234864414, 0.6923896287912187]"
3,9,"[0.8768603379188584, -0.47325966839003536, -0.44239689562425505, 0.5671815017826353, -0.1715913620254779]"
4,10,"[0.8903478121900084, -0.45827902737303317, -0.5259059966683045, 0.5631277413616865, -0.13537640992262218]"
5,12,"[0.6519111588626564, -0.16522933174112195, -0.4285866919246007, -0.4238576877794099, -0.15473394218427]"
6,13,"[0.8235130991897821, -0.5237170219625954, -0.22173766860060393, 0.5761426529168182, -0.0874186011229971]"
7,14,"[-0.272842211620414, 0.560262325941326, 0.28963449745526826, 0.17642100829338545, 0.10599400220021415]"
8,15,"[-0.33509618728306356, -0.0020962091532326166, -0.3554155751577474, -0.011705399568220089, -0.25611392044860315]"
9,16,"[0.5718239822590884, -0.21872530911299035, 0.028721954746890974, -0.4096451831467097, 0.07499303343006951]"
10,17,"[-0.3229849650913515, 0.009329183620598779, -0.4328788404322202, -0.016047562218222136, -0.22747222719926127]"
11,18,"[0.8085321687974333, -0.5353092604024776, -0.17093699711112983, 0.5783487844233575, -0.03381468323557461]"
12,19,"[0.6675964043656261, -0.20674118648536044, -0.40284354293913577, -0.5228457067703444, -0.14218506199018152]"
13,20,"[0.8571656387654574, 0.6334195608957038, 0.11785272203411615, -0.2839317683646759, -0.047185384503094674]"
14,21,"[0.6116247478210993, -0.26244279104910323, -0.16267691399270898, -0.5133896395499251, -0.08019158192625143]"
15,22,"[0.8087789928724738, 0.5880633055340979, 0.27866175983102737, -0.2790103069085615, 0.09961661230306651]"
16,23,"[0.8040425717012544, -0.5450280264997043, -0.14144953611839567, 0.5786867908492641, -0.06799016028706284]"
17,24,"[0.6499289841233454, -0.22394184111193116, -0.33332190325982425, -0.5202963719227196, -0.11007484853972442]"
18,25,"[0.9222884071248588, 0.7695487283041487, -0.3229233535773412, -0.19117795041905428, -0.11196884424167182]"
19,26,"[-0.3171615284734527, 0.013820133017549986, -0.43637240550746864, -0.015542576496084594, -0.2768020638977137]"
20,27,"[0.6040275423328823, -0.20157824170680988, -0.24346703389303667, -0.4050249891506843, -0.16003989313023623]"
21,28,"[0.8918632877510732, -0.45618851899628254, -0.5420437791517311, 0.5622037414600684, -0.11784283246384446]"
22,29,"[0.7266815710407585, 0.31967968948693043, 0.058619979229005574, -0.2685129139989723, 0.011551734013217048]"
23,30,"[0.7847510752556288, -0.5645643498305771, -0.05310482006409857, 0.5823316114286569, -0.05773041321762808]"
24,31,"[-0.0413174200704284, 0.9443286725675825, -0.35983970642574054, 0.20367213969738693, -0.1297904789638733]"
25,32,"[-0.34210550204257667, -0.009877707403245914, -0.3478925415938063, -0.012613438080293813, -0.2121653078697762]"
26,33,"[0.7843088214453539, -0.5651749467561032, -0.04839818548637629, 0.5826008943130182, -0.06284445957739754]"
27,34,"[0.7905003622054354, -0.5566266351494873, -0.11429108103364494, 0.5788309225545434, 0.008752184938132674]"
28,35,"[-0.36744640762074005, -0.03402857195477113, -0.2567190514384998, -0.009548123791786522, -0.1490563231611841]"
29,36,"[-0.37712444758367714, -0.043842878284884104, -0.21221114465494237, -0.007707113876847909, -0.14429199094014372]"
30,37,"[0.8295105368969875, -0.5207001779545516, -0.2339671403075094, 0.5755451727404365, -0.12963773689094674]"
31,38,"[0.844684471479159, -0.5032995052351286, -0.3369724180524159, 0.5703567388108007, -0.07084202599514856]"
32,39,"[0.7874679093290641, -0.5608130640835851, -0.08201688360816829, 0.5806775645714523, -0.026315509546661252]"
33,40,"[0.7930131201108371, 0.6464216521352484, 0.10826106522934424, -0.11015146309797076, 0.007210154546502961]"
34,41,"[0.7917680581958846, 0.5991155549384208, 0.040494802693983, -0.12731483194448234, -0.05009998633407553]"
35,43,"[1.1407616233812181, 0.44334594042163805, -0.30225130294396074, 0.7889617105452601, -0.04115763369319362]"
36,46,"[-0.4642947971983224, -0.13187786165736498, 0.18300062046200286, 0.00848653284022308, -0.08998897728052493]"
37,47,"[0.8640331488981827, -0.43005711141094377, -0.3011052178534615, 0.5902403098478227, -0.08158717295019575]"
38,48,"[0.815065245009438, -0.533452221438923, -0.1987367013721894, 0.5761325835096666, -0.06026804517220522]"
